epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,12802.3,1.41461,6.03363,1.75217,0.38834,0.66229,0.49299,0.34316,1.73349,5.85785,1.30817,0.0004984,0.0004984,0.0004984
78,12958.6,1.43965,5.99748,1.77025,0.39349,0.74869,0.4815,0.34261,1.70773,5.95025,1.28238,0.0004918,0.0004918,0.0004918
79,13118.1,1.41873,5.89191,1.73197,0.43392,0.62626,0.52654,0.37471,1.81074,6.20434,1.35495,0.0004852,0.0004852,0.0004852
80,13290.7,1.41606,5.72519,1.76392,0.38999,0.63033,0.5366,0.36666,1.84755,5.90887,1.40687,0.0004786,0.0004786,0.0004786
81,13462.3,1.43412,5.95791,1.79864,0.34327,0.57676,0.51731,0.34393,1.84472,6.25522,1.421,0.000472,0.000472,0.000472
82,13639.8,1.4486,6.10884,1.80356,0.34583,0.60822,0.45978,0.31115,1.80837,7.07373,1.38453,0.0004654,0.0004654,0.0004654
83,13825,1.40396,5.84429,1.80022,0.33056,0.59658,0.5188,0.34905,1.77713,5.97531,1.33312,0.0004588,0.0004588,0.0004588
84,13996.3,1.40611,5.80139,1.77638,0.32322,0.65502,0.4874,0.32467,1.73801,5.71503,1.31616,0.0004522,0.0004522,0.0004522
85,14173,1.40875,5.89738,1.77321,0.32079,0.63746,0.48643,0.33231,1.7987,5.70108,1.35002,0.0004456,0.0004456,0.0004456
86,14353.7,1.42509,5.83195,1.75313,0.36608,0.61144,0.46495,0.3273,1.83006,6.42609,1.36922,0.000439,0.000439,0.000439
87,14517.3,1.39383,5.91394,1.72979,0.35735,0.57874,0.46537,0.32785,1.7998,6.10311,1.3621,0.0004324,0.0004324,0.0004324
88,14684.7,1.40647,5.89056,1.74192,0.3431,0.63603,0.50811,0.33204,1.79705,6.02403,1.37753,0.0004258,0.0004258,0.0004258
89,14788.4,1.39701,5.81363,1.76217,0.38941,0.67747,0.50802,0.3264,1.82117,6.21556,1.39418,0.0004192,0.0004192,0.0004192
90,14904.7,1.40021,5.77557,1.73003,0.38042,0.65111,0.52659,0.35993,1.77896,6.64478,1.36928,0.0004126,0.0004126,0.0004126
91,15086,1.37396,5.69238,1.73796,0.50376,0.52737,0.48633,0.33779,1.7901,7.34117,1.40285,0.000406,0.000406,0.000406
92,15259.2,1.37469,5.63438,1.73398,0.33219,0.5331,0.44674,0.31282,1.83634,7.64338,1.43593,0.0003994,0.0003994,0.0003994
93,15437.9,1.39824,5.76831,1.75035,0.38246,0.49464,0.4631,0.31669,1.84917,7.55321,1.421,0.0003928,0.0003928,0.0003928
94,15609.2,1.40947,5.7695,1.74862,0.34872,0.58575,0.5073,0.33653,1.86615,7.41934,1.39914,0.0003862,0.0003862,0.0003862
95,15776.3,1.36011,5.66645,1.72464,0.44226,0.56442,0.54009,0.35486,1.83303,5.87358,1.37662,0.0003796,0.0003796,0.0003796
96,15957,1.38276,5.82714,1.73536,0.38244,0.66955,0.54424,0.36158,1.77478,5.60078,1.34838,0.000373,0.000373,0.000373
97,16129.6,1.4024,5.76568,1.72964,0.37934,0.59199,0.52043,0.35262,1.77733,5.87259,1.35015,0.0003664,0.0003664,0.0003664
98,16306.3,1.34208,5.54622,1.71783,0.33807,0.58141,0.51369,0.35762,1.73868,6.06165,1.31797,0.0003598,0.0003598,0.0003598
99,16485.1,1.39232,5.80112,1.72917,0.37691,0.54437,0.50361,0.35474,1.76478,5.92773,1.319,0.0003532,0.0003532,0.0003532
100,16663.1,1.36324,5.62546,1.73043,0.52291,0.51778,0.53493,0.3627,1.85971,6.1807,1.38278,0.0003466,0.0003466,0.0003466
101,16834.2,1.37609,5.81883,1.73856,0.46084,0.55829,0.51274,0.34514,1.88522,6.32751,1.41055,0.00034,0.00034,0.00034
102,17028.4,1.39277,5.66859,1.75887,0.40632,0.53764,0.49481,0.33773,1.82689,6.43056,1.377,0.0003334,0.0003334,0.0003334
103,17200.3,1.33554,5.50705,1.72751,0.42421,0.54108,0.51658,0.35746,1.76845,6.53468,1.35486,0.0003268,0.0003268,0.0003268
104,17348.9,1.36962,5.69793,1.69559,0.41518,0.59719,0.50125,0.34247,1.75019,5.95221,1.33827,0.0003202,0.0003202,0.0003202
105,17659.4,1.39696,5.7203,1.75174,0.41136,0.5779,0.50777,0.34185,1.75718,5.7157,1.32901,0.0003136,0.0003136,0.0003136
106,17835.7,1.40177,5.71872,1.75552,0.37868,0.61942,0.51038,0.34215,1.71201,5.39385,1.32128,0.000307,0.000307,0.000307
107,18367.3,1.35877,5.53485,1.70389,0.37581,0.62406,0.51693,0.36641,1.77437,5.90057,1.34912,0.0003004,0.0003004,0.0003004
108,18532.7,1.36011,5.54712,1.70301,0.47215,0.5001,0.51425,0.34638,1.81622,6.35252,1.36636,0.0002938,0.0002938,0.0002938
109,18692.6,1.37858,5.605,1.71076,0.54785,0.46023,0.52656,0.35412,1.76862,6.38786,1.36707,0.0002872,0.0002872,0.0002872
110,18861.8,1.33606,5.56622,1.71236,0.47719,0.53127,0.52827,0.37395,1.76173,6.51259,1.36743,0.0002806,0.0002806,0.0002806
111,19034.5,1.37871,5.51526,1.71846,0.42593,0.59185,0.53565,0.37915,1.7619,6.36206,1.35674,0.000274,0.000274,0.000274
